gsa_building_no,address,city,state,zipcode,latitude,longitude,costar_number,bldg_rsf,total_leased_rsf,percent_govt_leased,total_annual_rent,rent_prsf,remaining_total_term,remaining_firm_term
TX2360,3423 IH 35 NORTH,COTULLA,TX,78014-9998,28.4055454,-99.0857,GSA,19981,19981,100,790926.26,39.58,3.24,3.24
IL2409,233 NORTH MICHIGAN AVENUE,CHICAGO,IL,60601-5519,41.886129,-87.624411,144363,980362,184042,18.77,790249.26,4.29,8.67,8.67
FL2499,650 NW PEACOCK BOULEVARD,PORT SAINT LUCIE,FL,34986-2211,27.330229,-80.405734,5994656,23566,13992,59.37,790209.49,56.48,0.16,0.16
NJ5105,50 W STATE ST,TRENTON,NJ,08608-1220,40.220433,-74.767236,167757,266995,26062,9.76,789637.34,30.3,8.67,3.67
TX2589,2901 TURTLE CREEK DR,PORT ARTHUR,TX,77642-8056,29.941993,-93.98766,5559040,48628,37152,76.4,789465.8,21.25,7.59,2.59
AK3237,949 E 36TH AVE,ANCHORAGE,AK,99508-4361,61.188094,-149.864404,1100285,136781,26444,19.33,789313.57,29.85,0.55,0
KY3102,5555 ROCKWELL RD,WINCHESTER,KY,40391-8509,38.03015,-84.251148,7942929,574000,173197,30.17,788200,4.55,4.45,0
NY7157,1086 TROY-SCHENECTADY ROAD,LATHAM,NY,12110-1010,42.765593,-73.811458,7949925,37200,23524,63.24,787711.07,33.49,3.32,0.32
TX2125,5810 SAN BERNARDO AVE,LAREDO,TX,78041-2932,27.556456,-99.504235,8377999,40316,30336,75.25,787677.81,25.97,8.74,3.39
CT3413,15 MARNE STREET,HAMDEN,CT,06514-3610,41.354665,-72.927598,5655354,265450,28934,10.9,784988.36,27.13,6.83,6.83
NY7434,1847-1887 ROCKAWAY PARKWAY,NEW YORK-KINGS,NY,11236-5307,40.636289,-73.892434,1155577,45000,12600,28,784808.73,62.29,7.3,7.3
AZ8005,6431 SOUTH COUNTRY CLUB ROAD,TUCSON,AZ,85706-5907,32.135039,-110.926109,968905,52674,34632,65.75,784761.12,22.66,2.67,0
AK3180,620 E. 10TH AVE,ANCHORAGE,AK,99501-6205,61.212626,-149.872007,6216506,36538,36538,100,783650.71,21.45,6.08,6.08
CO1813,1670 NORTH NEWPORT ROAD,COLORADO SPRINGS,CO,80916-2750,38.806587,-104.726797,1135506,67500,36911,54.68,783639.7,21.23,8.17,3.17
ME4260,155 GANNETT DR,SOUTH PORTLAND,ME,04106-6942,43.6371871,-70.356804,GSA,23420,23420,100,783589.3,33.46,9.9,3.89
NC2566,1760 PARKWOOD BLVD.,WILSON,NC,27893-3564,35.725438,-77.939793,GSA,32030,32030,100,782923.62,24.44,6.71,1.71
MD0231,8403 COLEVILLE ROAD,SILVER SPRING,MD,20910-6331,38.99486593,-77.03187691,131139,470045,25105,5.34,782553.49,31.17,4.13,4.13
NV7970,790 SANDHILL ROAD,RENO,NV,89521-6010,39.415507,-119.727121,8157820,18254,18254,100,781589.82,42.82,13.52,8.52
AK3450,N.E. GEIST & PENNISON CRT,FAIRBANKS,AK,99709-3598,64.838092,-147.72638,GSA,20809,20809,100,781474.18,37.55,14.17,14.17
TX2122,8940 FOUR WIND DRIVE,WINDCREST,TX,78239-1900,29.522635,-98.391426,950621,82140,82140,100,780633.73,9.5,0.08,0.08
AR1127,615 S MAIN STREET,JONESBORO,AR,72401-2860,35.837578,-90.705001,GSA,52499,38849,74,778859.77,20.05,0.08,0
VA0364,45045 AVIATION DRIVE,DULLES AIRPORT,VA,20166-7528,38.958106,-77.447689,134527,120000,27803,23.17,776200.79,27.92,0.58,0.58
TX1874,4171 NORTH MESA,EL PASO,TX,79902-1444,31.793537,-106.509801,6297184,36902,35518,96.25,776117.32,21.85,6.59,1.59
DC0693,800 F ST. NW,WASHINGTON,DC,20004-1500,38.897193,-77.023491,129392,149729,18473,12.34,774831.52,41.94,1.01,1.01
CA7312,1261 THIRD AVENUE,CHULA VISTA,CA,91911-3262,32.608305,-117.06698,313407,43605,22597,51.82,774456.42,34.27,2.67,1
MD0238,3300 HUBBARD RD,LANDOVER,MD,20785-2010,38.930896,-76.875429,142331,125000,51630,41.3,774135.12,14.99,7.9,7.9
VA0360,5775 GENERAL WASH DR,ALEXANDRIA,VA,22312-2418,38.79416627,-77.17010076,135292,109081,51279,47.01,773360.35,15.08,1.83,1.83
VA0406,501 - 15TH STREET,ARLINGTON,VA,22202-2802,38.859799,-77.055294,137487,52641,52641,100,772110.78,14.67,3.25,3.25
CA7251,9737 AERO DRIVE,SAN DIEGO,CA,92123-1859,32.808374,-117.119706,315218,27239,27239,100,771907.83,28.34,2.84,0
AZ7209,207 E. CLARENDON STREET,PHOENIX,AZ,85012-2072,33.491438,-112.076606,5885431,23967,23967,100,771737.4,32.2,0.25,0
VA0014,8430-8462 TERMINAL ROAD,LORTON,VA,22079-1424,38.72871893,-77.19748268,136596,107209,60869,56.78,770664.42,12.66,7.52,5.02
WA7732,501 DESMOND DR SE,LACEY,WA,98503-1263,47.045907,-122.811476,GSA,32714,32714,100,769966.29,23.54,5,5
VA0040,2331 MILL RD,ALEXANDRIA,VA,22314-4677,38.802419,-77.067566,706131,90955,23629,25.98,766834.43,32.45,7.52,7.52
FL2402,3848 WEST COLUMBUS DRIVE,TAMPA,FL,33607-5768,27.966713,-82.508664,373257,53094,35616,67.08,766812.48,21.53,9.42,4.42
GA2060,100 BULL STREET,SAVANNAH,GA,31401-3305,32.078728,-81.091987,5939695,45155,29957,66.34,764962.92,25.54,1.15,0.16
MD0803,7100 OLD LANDOVER ROAD,LANDOVER,MD,20785-1506,38.928194,-76.891028,47829,251227,91525,36.43,764622.46,8.35,1.68,1.68
VA0534,1606 SANTA ROSA ROAD,RICHMOND,VA,23229-5014,37.6025,-77.548433,863778,54778,50523,92.23,762510.02,15.09,1.25,0
VA0591,720 THIMBLE SHOALS BLVD,NEWPORT NEWS,VA,23606-4537,37.084767,-76.470893,940406,80000,39992,49.99,762462.4,19.07,4.72,0.72
TX1966,4211 CEDAR SPRINGS ROAD,DALLAS,TX,75219-2602,32.812777,-96.813509,409956,39329,39329,100,761374.35,19.36,10.8,5.8
WV0273,1250 EDWIN MILLER BOULEVARD,MARTINSBURG,WV,25404-3753,39.476267,-77.958712,6935579,40499,25384,62.68,761182.7,29.99,9.92,4.92
VA1573,8600 MORRISSETTE DR,SPRINGFIELD,VA,22152-1001,38.795057,-77.242555,136761,107880,64900,60.16,760897.07,11.72,2.58,2.08
CO2078,621 17TH ST,DENVER,CO,80202-0621,39.745649,-104.990446,393843,326471,31815,9.75,759054.15,23.86,4.5,2.5
NY7241,2875 UNION ROAD,BUFFALO,NY,14227-1416,42.890565,-78.754478,5070907,600000,32341,5.39,759035.12,23.47,0,0
OR6646,7545 NE AMBASSADOR PL,PORTLAND,OR,97220-1367,45.577692,-122.570858,1382150,52588,23663,45,757180.39,32,5.33,0.33
CA6418,15350 SHERMAN WAY,LOS ANGELES,CA,91406-4203,34.201111,-118.467894,247175,128229,26163,20.4,757021.48,28.93,4.42,2.42
NC2090,1801 STANLEY RD,GREENSBORO,NC,27407-2640,36.05139,-79.890141,1092733,126000,38493,30.55,755858.86,19.64,4.13,0.65
OH2352,20637 EMERALD PARKWAY,CLEVELAND,OH,44135-6023,41.427901,-81.846359,7853693,24881,24881,100,755746.23,30.37,10.46,5.45
MT5399,5001 SOUTHGATE DRIVE,BILLINGS,MT,59101-4669,45.753795,-108.547355,GSA,67676,67676,100,755486.94,11.16,7.33,2.33
FL3250,1715 WEST NASA BOULEVARD,MELBOURNE,FL,32901-2611,28.092486,-80.650662,8003990,21284,21284,100,755266.4,35.49,7.92,2.91
AZ6659,SELLS AIRPORT ROAD,SELLS,AZ,85634-0910,32.0823909,-112.07175,,16701,16701,100,755104.78,45.21,13.65,8.65
CA7442,"18881 VON KARMAN AVENUE, SUITE 1800",IRVINE,CA,92612-1543,33.671466,-117.85747,279740,200000,16756,8.38,751899.06,44.87,3.78,2.78
VA0511,101 W MAIN ST,NORFOLK,VA,23510-1646,36.846322,-76.292456,935157,365011,32154,8.81,751132.24,23.36,5.31,2.35
AK3335,100 E 5TH AVE,ANCHORAGE,AK,99501-2518,61.217552,-149.882217,1442597,24087,23992,99.61,751040.22,31.3,2.91,2.91
NM1536,555 BROADWAY NW,ALBUQUERQUE,NM,87102-2351,35.0789359,-106.6456501,7692339,60000,28750,47.92,750824.07,26.12,10.94,10.94
VA0419,2721 JEFFERSON DAVIS HIGHWAY,STAFFORD,VA,22554-1798,38.454014,-77.405709,1379647,34111,34111,100,750442,22,3.81,3.81
AZ7677,2120 WEST INA ROAD,TUCSON,AZ,85741-2647,32.337387,-111.013946,969440,34710,21615,62.27,750199.49,34.71,5.24,1.08
MD0806,"811, 841, 843, 845 BRIGHTSEAT ROAD",LANDOVER,MD,20785-4740,38.91857,-76.882351,142297,144000,44472,30.88,750087.16,16.87,4.6,4.6
MI1901,120 E. JOLLY ROAD,LANSING,MI,48910-6647,42.683023,-84.55223,851914,35980,34202,95.06,749862.69,21.92,7.25,2.25
GA2014,2980 BRANDYWINE DRIVE,ATLANTA,GA,30341-5528,33.869805,-84.268596,437311,35343,35343,100,749625.03,21.21,4.08,1.08
OR6546,101 SW MAIN ST,PORTLAND,OR,97204-3228,45.515224,-122.675534,717047,315133,25483,8.09,749433.8,29.41,2.59,0
TX2342,11111 GATEWAY WEST,EL PASO,TX,79935-5401,31.743115,-106.32936,5919954,28420,28420,100,749060.51,26.36,5.25,5.25
WA7975,20700 44TH AVE W,LYNNWOOD,WA,98036-7742,47.811164,-122.292335,470146,189948,28993,15.26,748887.79,25.83,8.01,3.01
MD0760,11800 TECH ROAD,SILVER SPRING,MD,20904-1987,39.050444,-76.972139,131537,235954,54208,22.97,748187.1,13.8,3.5,3.5
TX2763,2475 Cliff Creek Crossing Drive,DALLAS,TX,75237-0000,32.6516362,-96.857284,GSA,17256,17256,100,747017,43.29,12.52,9.52
AR0016,101 S JACKSON ST,EL DORADO,AR,71730-6130,33.21183,-92.661214,6945407,49351,24637,49.92,746874.62,30.32,2.5,0
CT3341,265 CHURCH ST,NEW HAVEN,CT,06510-7013,41.309937,-72.922913,194181,282256,18942,6.71,746090.75,39.39,3.92,1.42
AK3414,3000 C STREET,ANCHORAGE,AK,99503-2400,61.193387,-149.886634,7036641,79455,20447,25.73,745906.56,36.48,1.67,1.67
CA7076,10877 WILSHIRE BLVD,LOS ANGELES,CA,90024-4341,34.059192,-118.44257,246825,357859,9079,2.54,745116.15,82.07,5.38,0.38
FL3203,7185 BONNEVAL BUILDING,JACKSONVILLE,FL,32256-6853,30.244905,-81.595098,6717862,27273,27273,100,743641.95,27.27,6.67,1.25
LA1502,800 W COMMERCE RD,NEW ORLEANS,LA,70123-3328,29.9549499,-90.184334,GSA,91409,37176,40.67,743520,20,2,0
TX1950,816 CONGRESS,AUSTIN,TX,78701-2442,30.270097,-97.742073,591210,433024,31576,7.29,742304.81,23.51,2.42,0
GA2176,SPA INDUSTRIAL PARK,SAVANNAH,GA,31408-8503,32.1047515,-81.1747498,GSA,17199,17199,100,741495.7,43.11,7.08,0
NV7676,2730 N. DEER RUN RD,CARSON CITY,NV,89701-1484,39.18336823,-119.6991505,6021088,35935,35935,100,741359.16,20.63,8.92,3.92
VA0853,10720 RICHMOND HWY,LORTON,VA,22079-2622,38.670301,-77.237685,594371,112768,47401,42.03,737954.39,15.57,0.08,0.08
WA7888,319 2ND AVE S,SEATTLE,WA,98104-2618,47.599942,-122.331601,788608,22695,22695,100,737795.69,32.51,13.51,13.51
CA6342,5300 OFFICE PARK DRIVE,BAKERSFIELD,CA,93309-0618,35.365732,-119.061895,5623243,16196,16196,100,736270.16,45.46,11.67,6.67
OH2288,1100 E. 26TH STREET,CLEVELAND,OH,44114-3720,41.513548,-81.676231,6539447,24334,24334,100,735359.09,30.22,12.02,2.02
SC2033,1441 MAIN STREET,COLUMBIA,SC,29201-5803,34.004482,-81.035009,774955,267549,38268,14.3,732816.02,19.15,2.75,1.75
TX2201,2323 SHEPHERD,HOUSTON,TX,77019-7019,29.745236,-95.410648,42090,119545,40501,33.88,732361.28,18.08,5.18,0.17
TX2564,1029 CAMINO LA COSTA,AUSTIN,TX,78752-3907,30.222837,-97.746843,5367625,23859,23859,100,731821.68,30.67,8.73,3.72
WA8021,22215 26TH AVE SE,BOTHELL,WA,98021-4425,47.79658,-122.197865,476956,89786,30470,33.94,731713.4,24.01,9.4,9.4
NY7374,41-61 KISSENA BLVD,NEW YORK-QUEENS,NY,11355-3105,40.754903,-73.823521,5879675,245000,17930,7.32,730960.58,40.77,4.25,4.25
NJ4626,401 HACKENSACK AVE,HACKENSACK,NJ,07601-6411,40.909082,-74.033186,161350,165000,18378,11.14,729769.74,39.71,8.43,8.43
TN2210,2868 ELM HILL PIKE,NASHVILLE,TN,37214-3718,36.148031,-86.663878,1252773,30858,30858,100,729049.29,23.63,8.86,3.86
PA0463,400 WASHINGTON ST.,READING,PA,19601-3915,40.337005,-75.929734,299556,125000,49256,39.4,728233.46,14.78,1.73,0
FL3175,1510 COMMONWEALTH BUSINESS DRIVE,TALLAHASSEE,FL,32303-3170,30.470383,-84.354708,6508864,19090,19090,100,728158.12,38.14,12.52,7.51
CA8242,2660 PARK MARINA DRIVE,REDDING,CA,96001-2847,40.563756,-122.396194,8040679,33000,19974,60.53,728128.5,36.45,13.48,8.47
GA2055,"3039 AMWILER ROAD, ATLA",ATLANTA,GA,30360-2824,33.929034,-84.262215,445764,75367,36900,48.96,727391.23,19.71,0.08,0
TX2794,311 UNION PACIFIC BLVD,LAREDO,TX,78045-9490,27.6136514,-99.490393,GSA,151829,107100,70.54,726787.07,6.79,14.59,9.59
AZ6040,3636 NO. CENTRAL AVENUE,PHOENIX,AZ,85012-1927,33.49055819,-112.0744735,224590,217247,30223,13.91,726510.66,24.04,9.42,3.42
NJ4546,190 MIDDLESEX ESSEX TPK,ISELIN,NJ,08830-2840,40.570238,-74.324607,168757,29670,17288,58.27,725788.67,41.98,3.26,1.76
MD0175,"8377-8387,8397-8413ADAR",LANDOVER,MD,20785-0000,38.942496,-76.869308,143065,99440,78018,78.46,724930.46,9.29,1.59,1.59
TN2050,31 E 11TH STREET,CHATTANOOGA,TN,37402-2722,35.043562,-85.308356,GSA,35037,35037,100,723054.82,20.64,11.27,6.27
TX2709,5956 SHERRY LN,DALLAS,TX,75225-6519,32.862313,-96.809431,409722,297838,15915,5.34,722878.07,45.42,7.33,7.33
NM1478,4021 NATIONAL PARKS HWY,CARLSBAD,NM,88220-9082,32.373507,-104.230371,GSA,90850,90850,100,721769.8,7.94,5.65,0
TN2177,"1 TERMINAL DR, SUITE 501",NASHVILLE,TN,37214-4110,36.135462,-86.667714,7167892,424761,14937,3.52,720417.36,48.23,0.28,0
VA0072,13934 PARK CENTER RD,HERNDON,VA,20171-3222,38.9348152,-77.427463,GSA,144499,40402,27.96,720205.34,17.83,4.68,4.68
GA2436,2970 BRANDYWINE DRIVE,ATLANTA,GA,30341-5528,33.869805,-84.268596,437311,35343,24892,70.43,718964.93,28.88,0.08,0.04
NY5718,75 OAK STREET,PATCHOGUE,NY,11772-2823,40.772115,-72.999701,6713158,23910,23910,100,718472.2,30.05,0.75,0.75
CA7729,501 VINCENT AVE.,WEST COVINA,CA,91790-6712,34.078878,-117.926329,GSA,66095,20952,31.7,718089.76,34.27,10.45,5.45
NJ4638,855 LEHIGH AVE,UNION,NJ,07083-7631,40.682121,-74.243981,6549107,39100,19257,49.25,717708.39,37.27,8.38,2.25
CA7670,5160 RICHTON STREET,MONTCLAIR,CA,91763-1315,34.095203,-117.693398,752204,94803,46767,49.33,717150.75,15.33,3.08,3.08
AZ7887,7350 W CAMINO SAN XAVIER,GLENDALE,AZ,85308-3871,33.641364,-112.190744,7314923,18963,18963,100,716801.4,37.8,16.79,6.78
MA5890,70 BOND STREET,SPRINGFIELD,MA,01104-3402,42.110377,-72.599681,GSA,20292,20292,100,715607.2,35.27,3.25,0.25
CA7377,1333 FRONT STREET,SAN DIEGO,CA,92101-3603,32.719373,-117.16473,5497554,25037,25037,100,714594.98,28.54,2.58,0
NJ4502,810 BEAR TAVERN RD,TRENTON,NJ,08628-1022,40.27761,-74.829379,167767,55000,26980,49.05,713313.92,26.44,0.98,0
FL2652,11401 SW FLAGLER STREET,MIAMI,FL,33174-1023,25.768336,-80.382059,GSA,24990,24990,100,711997.19,28.49,0.58,0
NY6436,990 STEWART AVENUE,GARDEN CITY,NY,11530-4822,40.734893,-73.597297,181320,207291,21327,10.29,707918.4,33.19,5.31,3.69
TX2662,600 SGT ED HOLCOMB BLVD N,CONROE,TX,77304-1177,30.385847,-95.497714,7786315,21525,21525,100,707320.55,32.86,12.25,7.25
VA1631,9610 GUNSTON COVE ROAD,LORTON,VA,22079-2310,38.695125,-77.22365,136552,163440,91578,56.03,707203.03,7.72,1.64,1.64
NY7304,1200 WATERS PLACE,NEW YORK-BRONX,NY,10461-2704,40.842858,-73.838597,682366,423915,22270,5.25,706883.28,31.74,1.82,0
UT1431,"2484 WASHINGTON BLVD., SUITE 200",OGDEN,UT,84401-2344,41.22098,-111.970457,1071305,71649,35415,49.43,706758.55,19.96,2.67,1.25
MD0500,2555 LORD BALTIMORE DRIVE,WOODLAWN,MD,21244-2649,39.326636,-76.750997,139373,42000,33600,80,706243.8,21.02,4.92,0
DC0468,2800 V ST N.E,WASHINGTON,DC,20018-1517,38.919165,-76.969383,130024,281098,57294,20.38,706163.96,12.33,3.85,3.85
MI2217,2600 WILLS DRIVE,MARYSVILLE,MI,48040-1926,42.880031,-82.485409,GSA,18000,18000,100,705783.66,39.21,5.45,3.45
NV7434,375 E. WARM SPRINGS,LAS VEGAS,NV,89119-4244,36.057831,-115.15886,978238,69752,20162,28.91,705394.48,34.99,0.5,0
NC2600,4800 FALLS OF NEUSE RD,RALEIGH,NC,27609-5404,35.847129,-78.614879,67564,178200,28633,16.07,705062.18,24.62,6.51,1.5
TX2579,1950 N.E. GREEN OAKS BLVD.,ARLINGTON,TX,76006-2631,32.776199,-97.076516,122961,35692,35692,100,703805.82,19.72,5.37,3.88
CA7687,3116 W. MARCH LANE,STOCKTON,CA,95219-2369,37.983998,-121.350403,7696887,32396,17974,55.48,703585.77,39.14,3.8,3.8
CA8208,1333 BROADWAY,OAKLAND,CA,94612-1917,37.803888,-122.27154,GSA,18137,18137,100,702990.12,38.76,9.67,7.67
TN2215,842 VIRGINIA RUN COVE,MEMPHIS,TN,38122-4419,35.156882,-89.883208,5798462,30226,30226,100,702861.86,23.25,8.21,8.21
NV7612,200 SOUTH VIRGINIA,RENO,NV,89501-2405,39.523299,-119.811864,1406262,128316,23281,18.14,702707.38,30.18,5.32,1.47
NY7096,10 BOUCK CT,NEW YORK-KINGS,NY,11223-5937,40.588767,-73.973441,7209484,24000,23759,99,702134.29,29.55,0.61,0
KS1610,7600 COLLEGE BLVD,OVERLAND PARK,KS,66210-1853,38.927579,-94.675054,559161,42901,31381,73.15,701463.54,22.35,13.59,8.59
KY3100,654 S 7TH ST,LOUISVILLE,KY,40203-4022,38.244018,-85.763806,8231408,17420,17420,100,701050.12,40.24,9.17,6.17
GA2099,COLLEGE STATION RD,ATHENS,GA,30605-2720,33.9074,-83.322027,GSA,57760,57760,100,700912.56,12.13,4.53,4.53
VA0819,2723 JEFFERSON DAVIS HIGHWAY,STAFFORD,VA,22554-9998,38.455594,-77.406268,1379643,30377,30377,100,699898.73,23.04,4.71,0
TX2385,8585 NORTH STEMMONS FRWY,DALLAS,TX,75247-3836,32.830718,-96.874439,428489,224500,34497,15.37,699557.82,20.28,1.62,0
PA0878,2401 WALNUT ST,PHILADELPHIA,PA,19103-4340,39.9513358,-75.179824,GSA,164682,18922,11.49,699404.73,36.96,14.81,9.81
FL2470,1339 20TH STREET,VERO BEACH,FL,32960-3559,27.638562,-80.398721,GSA,34068,34068,100,699172,20.52,9.42,4.42
CA7309,1500 BROADWAY,OAKLAND,CA,94612-2002,37.805557,-122.270321,330683,118098,23076,19.54,698736.96,30.28,2,0
VA0347,2850 EISENHOWER AVE,ALEXANDRIA,VA,22314-4565,38.802483,-77.081417,137600,75000,29346,39.13,698700,23.81,4.75,4.75
KS1598,3216 N CYPRESS ST,WICHITA,KS,67226-4005,37.74276802,-97.23456378,6520157,24574,24574,100,697812.19,28.4,11.88,4.88
CO1668,225 EAST 16TH AVENUE,DENVER,CO,80203-1620,39.741689,-104.984538,399246,134831,27506,20.4,697716.29,25.37,1.91,0
NM1431,505 S MAIN ST,LAS CRUCES,NM,88001-1206,32.305854,-106.777471,5558331,204079,40718,19.95,696678.55,17.11,2.37,0.4
CA6810,160 W SANTA CLARA,SAN JOSE,CA,95113-1701,37.334957,-121.893062,309656,202973,17804,8.77,695967.53,39.09,4.55,1.79
VA0805,7049 NEWINGTON,ARLINGTON,VA,22122-0000,38.739043,-77.187378,136807,43190,34429,79.72,695294.08,20.2,7.98,7.98
VA0877,12379 SUNRISE VALLEY,RESTON,VA,20191-3477,38.804809,-77.04494,138098,113000,30139,26.67,695241.83,23.07,1.02,1.02
NJ4620,SUITE 130,MORRISTOWN,NJ,07960-4653,40.796171,-74.428152,GSA,17750,17750,100,693130.49,39.05,1.81,1.81
TX2652,2009 W. JEFFERSON,HARLINGEN,TX,78550-5280,26.19476043,-97.71876639,GSA,21975,21975,100,692446.18,31.51,10.06,5.06
PA0874,4700 WISSAHICKON AVENUE,PHILADELPHIA,PA,19144-4248,40.015714,-75.170104,87260,677000,21052,3.11,692288.42,32.88,4.09,2.09
LA1420,2600 CITIPLACE DRIVE,BATON ROUGE,LA,70808-2711,30.423246,-91.128501,1562800,85000,27464,32.31,691476.09,25.18,4.43,2.5
TX2244,1460 PRUDENTIAL DRIVE,DALLAS,TX,75235-4110,32.823983,-96.861043,413676,29942,29942,100,691207.41,23.08,7.42,0.42
OH2108,6747 ENGLE ROAD,MIDDLEBURG HEIGHTS,OH,44130-7953,41.3848388,-81.82011043,GSA,30844,30844,100,691118.55,22.41,14.42,9.42
WA7795,601 UNION ST,SEATTLE,WA,98101-2341,47.610157,-122.333546,470527,1126428,23761,2.11,691016.17,29.08,3.92,0
NY7422,14 DURKEE ST,PLATTSBURGH,NY,12901-2911,44.696389,-73.45234,6131203,44000,20804,47.28,690544.35,33.19,7.25,2.26
NJ4533,3 GARRET MOUNTAIN PLAZA,WEST PATERSON,NJ,07424-3319,40.90117,-74.188233,173221,125000,29685,23.75,689545.36,23.23,3.43,1.07
WV0240,457 PETTYVILLE ROAD,MINERALWELLS,WV,26150-3047,39.1576818,-81.520973,5576081,39350,39350,100,689437.74,17.52,5.5,0.5
OR6359,530 CENTER ST NE,SALEM,OR,97301-3772,44.942778,-123.035041,1378821,127096,30420,23.93,688471.84,22.63,7.91,3.11
CA7177,8808 BALBOA AVENUE,SAN DIEGO,CA,92123-1592,32.820428,-117.138655,35696,35344,15955,45.14,687374.35,43.08,0.64,0
GA2042,LAKE PARK DR SE,SMYRNA,GA,30080-8981,33.895692,-84.483178,434765,104694,36924,35.27,686458.08,18.59,9.01,4.01
NH6158,9 RIDGEWOOD ROAD,BEDFORD,NH,03110-6908,42.958051,-71.487312,8008648,19561,19561,100,686350.77,35.09,13.18,8.18
MD0260,2400 SCHUSTER DRIVE,CHEVERLY,MD,20781-1121,38.923865,-76.926366,143848,82464,82090,99.55,686180.34,8.36,1.08,1.08
WA7818,"1300 SE CARDINAL COURT, BLDG. 10",VANCOUVER,WA,98683-9589,45.611874,-122.495418,716072,42413,34106,80.41,685189.54,20.09,9.77,9.77
MD0317,8335-8361 ARDWICK ARDMORE ROAD,LANDOVER,MD,20785-1622,38.941751,-76.866514,142597,100840,70000,69.42,685140.99,9.79,3.92,3.92
MD0395,100 SOUTH CHARLES STREET,BALTIMORE,MD,21202-2725,39.287717,-76.615032,139809,159830,20050,12.54,684866.75,34.16,7.72,2.72
CA7092,11150 W OLYMPIC BLVD,LOS ANGELES,CA,90064-1817,34.039761,-118.438604,246880,160094,23213,14.5,684726.09,29.5,5,2
RI7152,1543 ATWOOD DRIVE,JOHNSTON,RI,02919-3232,41.830235,-71.500889,7871409,20560,20560,100,684433.99,33.29,12.34,7.33
FL2291,4950 W. KENNEDY BLVD.,TAMPA,FL,33609-1837,27.944769,-82.527696,380396,87553,30649,35.01,683999.34,22.32,4.25,0
HI6979,99-193 AIEA HEIGHTS,AIEA,HI,96701-3900,21.380283,-157.928449,1414976,75453,13028,17.27,683970,52.5,0.71,0
NV6776,3373 PEPPER LNE,LAS VEGAS,NV,89120-2750,36.076268,-115.102238,977838,25250,25250,100,683878.88,27.08,0.3,0
MD0428,100 S. CHARLES ST.,BALTIMORE,MD,21201-2725,39.287717,-76.615032,139809,159830,21622,13.53,683821.02,31.63,0.29,0
OK1482,4750 SOUTH GARNETT RD.,TULSA,OK,74146-5222,36.092692,-95.851081,1050892,29225,29225,100,683703.89,23.39,8.19,8.19
MD0444,707 E. ORDNANCE ROAD,BALTIMORE,MD,21226-1767,39.207417,-76.586697,133201,56819,56819,100,683498.07,12.03,1.01,0
TX2275,2350 NORTHBELT EAST,HOUSTON,TX,77032-3100,29.938177,-95.350829,237820,157000,32125,20.46,683100,21.26,4.42,0
NM1489,1720 RANDOLPH RD SE,ALBUQUERQUE,NM,87106-4256,35.052706,-106.627551,1378596,54240,34518,63.64,682815.62,19.78,7.63,7.63
MI1941,1172 KIRTS BOULEVARD,TROY,MI,48084-4846,42.556681,-83.163006,29543,32662,32662,100,681379.31,20.86,7.33,2.33
DC1222,2100 M STREET NW,WASHINGTON,DC,20037-1207,38.905623,-77.046621,129125,306663,16468,5.37,679045.6,41.23,1.25,1.25
MD0314,3601 PENNSY DRIVE,LANDOVER,MD,20785-1612,38.940431,-76.873643,143232,72000,71400,99.17,678017.84,9.5,4.05,4.05
OK1456,110 W. 7TH STREET,TULSA,OK,74119-1029,36.148929,-95.990818,1048918,474073,39975,8.43,677721.5,16.95,2.08,2.08
WI1607,1000 NORTH WATER STREET,MILWAUKEE,WI,53202-6648,43.04325,-87.91061,1268981,283450,17994,6.35,676760.96,37.61,5.27,0.27
IL2447,3252-3264 W FULLERTON,CHICAGO,IL,60647-2563,41.924997,-87.7096959,GSA,13767,13767,100,676005.57,49.1,10.18,0.18
CA7880,516 INDUSTRY WAY,IMPERIAL,CA,92251-7501,32.828449,-115.580068,6211963,25609,21566,84.21,675980.7,31.34,6.45,3.78
TX1894,1901 HWY 360,GRAND PRAIRIE,TX,75050-1412,32.7833826,-97.0597736,GSA,103596,33562,32.4,674240.79,20.09,5.17,0.17
NC2389,1500 PINECROFT ROAD,GREENSBORO,NC,27407-3810,36.049853,-79.843597,1089866,146730,40858,27.85,673848.89,16.49,1.33,0
MO1900,717 N. 16TH ST.,ST. LOUIS,MO,63103-1838,38.633818,-90.201476,7830550,22535,22535,100,673027.45,29.87,1.63,1.63
GA2078,3800 CAMP CREEK PKWY,ATLANTA,GA,30331-6053,33.660854,-84.522223,442582,34146,34146,100,672888.27,19.71,9,9
CT3316,130 DARLIN STREET,EAST HARTFORD,CT,06108-3234,41.765249,-72.658712,815500,39591,34889,88.12,671609.77,19.25,1.25,0
AR1135,402 N WALNUT,HARRISON,AR,72601-3630,36.233781,-93.105942,GSA,36212,36212,100,670524.81,18.52,3.67,3.67
WI1635,6300 W. FOND DULAC,MILWAUKEE,WI,53218-4906,43.101742,-87.991124,6124360,24854,24854,100,670043.7,26.96,5.53,0
HI8234,99-1269 IWAENA STREET,AIEA,HI,96701-5636,21.380993,-157.906175,6872446,67241,46074,68.52,669028.18,14.52,0.5,0
