"r"	"g"	"b"	"cust_skey"	"r_perc"	"g_perc"	"b_perc"	"color_name"	"rank"
46	45	50	7993114	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	7762246265	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	2790504387	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
128	128	128	6549138	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
105	105	105	6549138	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
169	169	169	6549138	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
169	169	169	2437646820	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
119	136	153	2437646820	0.466666666666667	0.533333333333333	0.6	"Light Slate Gray"	139
112	128	144	2437646820	0.43921568627451	0.501960784313725	0.564705882352941	"Slate Gray"	140
105	105	105	2437646820	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	2437646820	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	6773359470	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
105	105	105	6773359470	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	6773359470	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
128	128	128	3743067	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
105	105	105	3743067	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
46	45	50	7135588337	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	7135588337	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
105	105	105	7135588337	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	2372450105	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	2372450105	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
105	105	105	2372450105	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
105	105	105	3065709718	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	3065709718	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	3065709718	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
105	105	105	9260675772	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
128	128	128	9260675772	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
169	169	169	9260675772	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
46	45	50	9260675772	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	9260675772	0	0	0	"Black"	145
220	220	220	13636912	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
250	235	215	13636912	0.980392156862745	0.92156862745098	0.843137254901961	"Antique White"	26
250	240	230	13636912	0.980392156862745	0.941176470588235	0.901960784313726	"Linen"	22
211	211	211	13636912	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
105	105	105	3743067	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
216	191	216	60474656	0.847058823529412	0.749019607843137	0.847058823529412	"Thistle"	109
220	220	220	60474656	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
255	192	203	60474656	1	0.752941176470588	0.796078431372549	"Pink"	123
255	228	225	60474656	1	0.894117647058824	0.882352941176471	"Misty Rose"	9
230	230	250	5497081	0.901960784313726	0.901960784313726	0.980392156862745	"Lavender"	93
220	220	220	5497081	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
176	196	222	5497081	0.690196078431373	0.768627450980392	0.870588235294118	"Light Steel Blue"	90
46	45	50	17046278	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	139	139	13636912	0	0.545098039215686	0.545098039215686	"Dark Cyan"	79
32	178	170	13636912	0.125490196078431	0.698039215686274	0.666666666666667	"Light Sea Green"	72
211	211	211	4110276	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
46	45	50	4110276	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
220	220	220	4110276	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
128	128	128	7989310179	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
119	136	153	7989310179	0.466666666666667	0.533333333333333	0.6	"Light Slate Gray"	139
169	169	169	7989310179	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
220	220	220	8315600035	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
230	230	250	8315600035	0.901960784313726	0.901960784313726	0.980392156862745	"Lavender"	93
245	245	245	8315600035	0.96078431372549	0.96078431372549	0.96078431372549	"White Smoke"	133
105	105	105	19081597	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
128	128	128	19081597	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
47	79	79	8221149103	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	8221149103	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	7954598	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	3462213430	0	0	0	"Black"	145
46	45	50	3462213430	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	2776351933	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	2776351933	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
169	169	169	3462188840	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
190	190	190	3462188840	0.745098039215686	0.745098039215686	0.745098039215686	"Gray (X11)"	137
220	220	220	5732682	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
211	211	211	5732682	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
46	45	50	3747588	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	3747588	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
165	42	42	8151012061	0.647058823529412	0.164705882352941	0.164705882352941	"Brown"	4
176	48	96	8151012061	0.690196078431373	0.188235294117647	0.376470588235294	"Maroon (X11)"	120
205	92	92	8151012061	0.803921568627451	0.36078431372549	0.36078431372549	"Indian Red"	3
219	112	147	7135588337	0.858823529411765	0.43921568627451	0.576470588235294	"Pale Violet Red"	121
176	48	96	7135588337	0.690196078431373	0.188235294117647	0.376470588235294	"Maroon (X11)"	120
205	92	92	7135588337	0.803921568627451	0.36078431372549	0.36078431372549	"Indian Red"	3
199	21	133	7135588337	0.780392156862745	0.0823529411764706	0.52156862745098	"Medium Violet Red"	117
105	105	105	7852485536	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	4985620457	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
105	105	105	4985620457	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
46	45	50	4985620457	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	8834470644	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	8834470644	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
85	107	47	8834470644	0.333333333333333	0.419607843137255	0.184313725490196	"Dark Olive Green"	51
46	45	50	8834470644	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
105	105	105	8834470644	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
188	143	143	8239757	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
169	169	169	8239757	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
192	192	192	8239757	0.752941176470588	0.752941176470588	0.752941176470588	"Silver (W3C)"	136
190	190	190	8239757	0.745098039215686	0.745098039215686	0.745098039215686	"Gray (X11)"	137
47	79	79	16238488	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	59596808	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
105	105	105	59596808	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
169	169	169	59596808	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
128	128	128	59596808	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
46	45	50	6003127500	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	6003127500	0	0	0	"Black"	145
128	128	128	2650834690	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
105	105	105	2650834690	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
169	169	169	2650834690	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
165	42	42	3743067	0.647058823529412	0.164705882352941	0.164705882352941	"Brown"	4
46	45	50	16238488	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	16238488	0	0	0	"Black"	145
119	136	153	59651794	0.466666666666667	0.533333333333333	0.6	"Light Slate Gray"	139
112	128	144	59651794	0.43921568627451	0.501960784313725	0.564705882352941	"Slate Gray"	140
72	61	139	59651794	0.282352941176471	0.23921568627451	0.545098039215686	"Dark Slate Blue"	100
46	45	50	8315716022	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	3462188840	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	3462188840	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
128	128	128	6549138	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
211	211	211	6549138	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
105	105	105	6549138	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
188	143	143	6549138	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
46	45	50	4985620457	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	17358577	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
245	222	179	17358577	0.96078431372549	0.870588235294118	0.701960784313725	"Wheat"	33
245	222	179	8808785488	0.96078431372549	0.870588235294118	0.701960784313725	"Wheat"	33
220	220	220	17358577	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
250	235	215	17358577	0.980392156862745	0.92156862745098	0.843137254901961	"Antique White"	26
220	220	220	14068005	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
250	235	215	14068005	0.980392156862745	0.92156862745098	0.843137254901961	"Antique White"	26
255	99	71	8808785488	1	0.388235294117647	0.27843137254902	"Tomato"	11
220	20	60	8808785488	0.862745098039216	0.0784313725490196	0.235294117647059	"Crimson"	122
46	45	50	8808785488	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
105	105	105	7717396841	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	7717396841	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	7717396841	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
105	105	105	7259918561	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	7259918561	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	7259918561	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	17046278	0	0	0	"Black"	145
46	45	50	17046278	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	4236719125	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
105	105	105	4236719125	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
46	45	50	8630387474	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
75	0	130	8630387474	0.294117647058824	0	0.509803921568627	"Indigo"	104
127	0	127	5425310544	0.498039215686275	0	0.498039215686275	"Purple (W3C)"	115
139	0	139	5425310544	0.545098039215686	0	0.545098039215686	"Dark Magenta"	112
153	50	204	5425310544	0.6	0.196078431372549	0.8	"Dark Orchid"	106
176	48	96	5425310544	0.690196078431373	0.188235294117647	0.376470588235294	"Maroon (X11)"	120
46	45	50	3154849773	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	3154849773	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	6734262424	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	8315716022	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
128	128	128	5231039	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
105	105	105	5231039	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
169	169	169	5231039	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
188	143	143	3139887724	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
128	128	128	3139887724	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
233	150	122	3139887724	0.913725490196078	0.588235294117647	0.47843137254902	"Dark Salmon"	12
169	169	169	7053520920	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
128	128	128	7053520920	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
105	105	105	7053520920	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
220	220	220	7053520920	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
46	45	50	6072274254	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	3743067	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	5592146494	0	0	0	"Black"	145
46	45	50	5592146494	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	2776351933	0	0	0	"Black"	145
46	45	50	2776351933	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	2776351933	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	8531422077	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	8531422077	0	0	0	"Black"	145
46	45	50	14636922	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	14636922	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
220	220	220	59061499	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
211	211	211	59061499	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
0	0	0	17391496	0	0	0	"Black"	145
46	45	50	17391496	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
178	34	34	1305359	0.698039215686274	0.133333333333333	0.133333333333333	"Firebrick"	5
255	182	193	59061499	1	0.713725490196078	0.756862745098039	"Light Pink"	124
245	245	245	59061499	0.96078431372549	0.96078431372549	0.96078431372549	"White Smoke"	133
255	105	180	59061499	1	0.411764705882353	0.705882352941177	"Hot Pink"	119
46	45	50	8023230	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	8023230	0	0	0	"Black"	145
128	128	128	60104523	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
188	143	143	60104523	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
46	45	50	6390690414	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
245	245	245	19673034	0.96078431372549	0.96078431372549	0.96078431372549	"White Smoke"	133
248	248	255	19673034	0.972549019607843	0.972549019607843	1	"Ghost White"	127
46	45	50	6549138	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
211	211	211	17358577	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
220	220	220	17358577	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
250	235	215	17358577	0.980392156862745	0.92156862745098	0.843137254901961	"Antique White"	26
220	220	220	6549138	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
211	211	211	6549138	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
250	235	215	6549138	0.980392156862745	0.92156862745098	0.843137254901961	"Antique White"	26
105	105	105	2437646820	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
169	169	169	2437646820	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
128	128	128	2437646820	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
188	143	143	2437646820	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
105	105	105	8240070	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	8240070	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
220	220	220	7321891	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
230	230	250	7321891	0.901960784313726	0.901960784313726	0.980392156862745	"Lavender"	93
176	196	222	7321891	0.690196078431373	0.768627450980392	0.870588235294118	"Light Steel Blue"	90
128	128	128	8363135847	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
119	136	153	8363135847	0.466666666666667	0.533333333333333	0.6	"Light Slate Gray"	139
176	48	96	8630437639	0.690196078431373	0.188235294117647	0.376470588235294	"Maroon (X11)"	120
47	79	79	7259918561	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	7259918561	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	8239757	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	8239757	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	8239757	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
46	45	50	8239757	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
72	61	139	2418026	0.282352941176471	0.23921568627451	0.545098039215686	"Dark Slate Blue"	100
46	45	50	2418026	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	2158259552	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	2158259552	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
95	158	160	6409462378	0.372549019607843	0.619607843137255	0.627450980392157	"Cadet Blue"	82
105	105	105	6409462378	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
47	79	79	6409462378	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
211	211	211	4697475906	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
192	192	192	4697475906	0.752941176470588	0.752941176470588	0.752941176470588	"Silver (W3C)"	136
190	190	190	4697475906	0.745098039215686	0.745098039215686	0.745098039215686	"Gray (X11)"	137
169	169	169	4697475906	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
220	220	220	4697475906	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
46	45	50	6698214	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	8799045	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	8799045	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
230	230	250	5406557	0.901960784313726	0.901960784313726	0.980392156862745	"Lavender"	93
216	191	216	5406557	0.847058823529412	0.749019607843137	0.847058823529412	"Thistle"	109
220	220	220	5406557	0.862745098039216	0.862745098039216	0.862745098039216	"Gainsboro"	134
210	180	140	5084521	0.823529411764706	0.705882352941177	0.549019607843137	"Tan"	27
188	143	143	5084521	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
169	169	169	5084521	0.662745098039216	0.662745098039216	0.662745098039216	"Dark Gray"	138
112	128	144	5900594699	0.43921568627451	0.501960784313725	0.564705882352941	"Slate Gray"	140
119	136	153	5900594699	0.466666666666667	0.533333333333333	0.6	"Light Slate Gray"	139
128	128	128	8630437639	0.501960784313725	0.501960784313725	0.501960784313725	"Gray (W3C)"	141
188	143	143	8630437639	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
105	105	105	8630437639	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
46	45	50	8240070	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
210	180	140	1944320874	0.823529411764706	0.705882352941177	0.549019607843137	"Tan"	27
245	222	179	1944320874	0.96078431372549	0.870588235294118	0.701960784313725	"Wheat"	33
211	211	211	1944320874	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
192	192	192	1944320874	0.752941176470588	0.752941176470588	0.752941176470588	"Silver (W3C)"	136
46	45	50	5446111130	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
85	107	47	8363135847	0.333333333333333	0.419607843137255	0.184313725490196	"Dark Olive Green"	51
105	105	105	8363135847	0.411764705882353	0.411764705882353	0.411764705882353	"Dim Gray"	142
46	45	50	8363135847	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
230	230	250	8315716022	0.901960784313726	0.901960784313726	0.980392156862745	"Lavender"	93
